time,ids,frame,object_num,violation_num
2023-07-23 15:16:55.527832,"[(9, 16), (8, 11), (7, 15), (10, 17)]",0,18,8
2023-07-23 15:16:55.847797,"[(9, 16), (8, 11), (7, 15)]",1,18,6
2023-07-23 15:16:56.183308,"[(9, 16), (8, 11), (7, 15), (10, 17)]",2,18,8
2023-07-23 15:16:56.428327,"[(9, 16), (8, 11), (7, 15)]",3,18,6
2023-07-23 15:16:56.690056,"[(9, 16), (8, 11), (7, 15)]",4,18,6
2023-07-23 15:16:56.922826,"[(9, 16), (8, 11), (7, 15)]",5,18,6
2023-07-23 15:16:57.150700,"[(8, 11), (9, 16)]",6,18,4
2023-07-23 15:16:57.381157,"[(8, 11), (9, 16)]",7,18,4
2023-07-23 15:16:57.614399,"[(8, 11), (9, 16)]",8,18,4
2023-07-23 15:16:57.845198,"[(8, 11), (9, 16)]",9,18,4
2023-07-23 15:16:58.083150,"[(8, 11), (9, 16)]",10,18,4
2023-07-23 15:16:58.319889,"[(8, 11), (9, 16)]",11,18,4
2023-07-23 15:16:58.549210,"[(9, 16)]",12,18,2
2023-07-23 15:16:58.787516,"[(8, 11), (9, 16)]",13,18,4
2023-07-23 15:16:59.028042,"[(8, 11), (9, 16)]",14,18,4
2023-07-23 15:16:59.265843,"[(8, 11), (9, 16)]",15,18,4
2023-07-23 15:16:59.516255,"[(8, 11), (9, 16)]",16,18,4
2023-07-23 15:16:59.749779,"[(8, 11), (9, 16)]",17,18,4
2023-07-23 15:16:59.994349,"[(8, 11), (9, 16)]",18,18,4
2023-07-23 15:17:00.235103,"[(8, 11), (9, 16)]",19,18,4
2023-07-23 15:17:00.793750,"[(9, 16)]",20,18,2
2023-07-23 15:17:01.015787,"[(9, 16), (4, 7)]",21,18,4
2023-07-23 15:17:01.233102,"[(9, 16), (4, 7)]",22,18,4
2023-07-23 15:17:01.451477,"[(9, 16)]",23,18,2
2023-07-23 15:17:01.669965,"[(9, 16), (4, 7)]",24,18,4
2023-07-23 15:17:01.895674,"[(9, 16), (4, 7)]",25,18,4
2023-07-23 15:17:02.117149,"[(9, 16), (4, 7)]",26,18,4
2023-07-23 15:17:02.329076,"[(4, 7)]",27,14,2
2023-07-23 15:17:02.544300,"[(4, 7)]",28,15,2
2023-07-23 15:17:02.761988,"[(4, 7)]",29,15,2
2023-07-23 15:17:02.978339,"[(4, 7)]",30,15,2
2023-07-23 15:17:03.196003,"[(4, 7)]",31,15,2
2023-07-23 15:17:03.411611,"[(4, 7)]",32,15,2
2023-07-23 15:17:03.628697,"[(4, 7)]",33,15,2
2023-07-23 15:17:03.845942,"[(4, 7)]",34,15,2
2023-07-23 15:17:04.067031,"[(9, 10), (4, 7)]",35,15,4
2023-07-23 15:17:04.289456,"[(9, 10), (4, 7)]",36,15,4
2023-07-23 15:17:04.508266,"[(9, 10), (4, 7)]",37,15,4
2023-07-23 15:17:04.728283,"[(9, 10), (4, 7)]",38,15,4
